x,y
0.7941,9.0809
5.9567,4.7968
8.3078,7.0407
7.3665,2.5165
4.0961,1.1307
3.8099,1.9586
6.3336,4.372
5.7409,6.7697
4.3114,6.941
6.3414,0.0758
2.0173,4.8627
8.7101,2.9442
0.8829,1.3445
2.4336,8.06
6.155,1.9774
7.6219,9.6208
3.2494,3.2096
0.7084,8.9051
2.7256,1.0135
4.2683,1.8238
5.3298,6.3457
4.283,3.1855
9.6349,1.2462
7.4492,8.995
1.2837,7.5588
7.6423,6.7629
4.6375,3.4561
4.3794,7.2107
7.2382,4.3998
4.5083,1.8794
5.339,2.5803
1.5702,2.807
5.3103,8.491
7.3227,5.1229
3.1667,6.2971
8.5522,0.5541
9.0104,7.1375
9.623,7.2774
4.8259,7.8946
1.2191,1.3462
5.5427,7.8075
3.6597,6.3443
6.6331,5.2246
4.1841,9.373
2.0768,4.4422
3.1491,1.6401
1.5167,8.9621
1.203,5.3153
5.0278,7.7972
6.2591,3.4753
5.5137,1.323
5.6128,9.6412
1.3307,9.9828
6.2188,7.5741
1.9264,0.2691
5.686,3.9426
4.4478,9.7351
9.581,1.7132
4.5698,4.1206
0.1927,5.0773
0.613,2.2644
5.2614,9.8063
6.2019,5.4881
3.4877,0.4956
1.8509,5.2754
0.5082,3.4107
0.3093,5.7269
0.2758,6.2541
2.217,6.8293
5.4213,9.3616
0.4763,8.23
6.8635,4.4686
5.5935,2.5938
3.8248,4.1736
1.8616,2.8019
4.5027,4.36
3.1704,8.2077
9.4626,3.9938
9.8236,9.88
4.1472,8.8467
1.669,5.7207
6.0513,7.761
2.9265,2.359
4.9941,0.096
4.2708,5.143
5.1621,0.252
9.4804,1.4371
4.6449,1.2157
5.7111,9.2296
5.4847,7.41
4.8707,6.2239
3.5149,2.451
1.1055,9.4785
4.8579,2.4629
2.9072,4.1222
4.8407,7.0817
7.9815,2.6339
4.0904,8.2427
5.2715,0.7871
3.2805,6.7441
9.7952,7.7306
3.4777,2.0938
4.4817,6.5322
0.9143,4.9587
4.7734,4.967
9.4115,4.3036
6.7528,1.1262
1.0469,6.609
2.8539,6.7062
0.4995,1.4831
4.2822,4.4936
9.023,1.8307
2.236,1.3655
4.1663,7.8649
7.5533,0.039
3.9994,7.8037
2.2166,6.2559
9.0473,7.5661
5.4822,3.2393
4.105,2.8166
2.6927,7.2932
7.7284,9.9334
4.7218,2.4048
